forks,stargazers_count,open_issues,size,owner_type,readme_size,num_contrib,commits,year
0,2,0,84,0,0,2,3,2009
0,2,0,5872,1,19,1,10,2012
1,2,0,24746,1,899,5,203,2011
2,0,12,380,0,0,0,0,2012
0,2,0,1168,0,0,0,0,2012
2,1,0,2857,0,2064,1,1,2012
1,3,0,42100,1,0,0,0,2009
2,2,0,187,1,110,2,46,2010
0,3,1,740,0,3925,1,91,2012
2,2,0,1484,1,56,3,77,2012
2,2,0,117,0,480,1,8,2011
1,3,0,12676,0,0,2,22,2010
0,1,1,380,0,1275,1,13,2011
0,2,0,33620,1,2204,9,504,2011
1,2,0,50905,1,2578,17,903,2011
1,6,3,399,0,3035,1,35,2012
1,2,0,168,1,0,2,16,2012
0,2,0,17012,0,0,2,78,2011
0,3,0,30666,0,1603,1,177,2009
2,4,0,3457,0,0,0,0,2008
2,2,2,6223,0,2117,0,0,2012
2,2,3,28201,0,113,1,5,2012
1,2,0,1360,1,2059,1,88,2011
0,2,0,667,0,96,2,33,2012
0,2,0,340,0,257,0,0,2011
0,1,0,155,0,38,1,1,2010
0,4,0,132,0,66,1,8,2010
0,0,0,7636,0,0,0,0,2012
0,0,1,1172,0,44,1,27,2012
0,0,0,1260,0,28,1,9,2012
2,5,37,23763,0,2914,3,4914,2012
2,1,0,345,0,342,2,25,2012
0,1,0,380,0,0,2,16,2012
2,1,0,304,1,182,4,38,2012
0,2,0,357,0,0,1,20,2011
0,3,0,204,1,758,3,12,2012
0,2,0,148,0,55,1,2,2012
0,2,0,29060,1,1027,12,440,2011
0,1,0,1492,0,1552,2,14,2012
0,1,0,804,0,0,0,0,2012
0,1,0,2220,0,0,1,1,2010
0,1,0,352,0,878,1,2,2012
3,0,4,3123,0,175,2,11,2012
0,1,0,152,0,8001,1,2,2008
1,0,0,168,0,2044,1,18,2012
0,6,0,8416,0,3733,1,29,2011
0,1,0,100,0,0,1,1,2011
0,0,0,143448,0,55,1,13,2012
1,2,0,1769,0,7373,0,0,2011
1,3,0,102,0,53,1,1,2009
2,6,0,453448,0,1673,2,23,2010
1,3,0,368,0,653,1,24,2012
0,0,0,4376,0,0,1,4,2012
0,3,0,1536,0,1574,0,0,2010
0,1,0,2240,0,0,1,4,2012
0,2,0,252,0,97,4,7,2010
0,0,0,468,0,27,1,2,2012
0,2,0,174,0,21100,1,50,2012
0,2,0,13779,0,1259,2,5,2009
0,1,0,10972,0,10011,0,0,2009
0,2,0,3156,0,66,1,11,2010
0,0,0,824,0,0,1,5,2012
0,1,0,244,1,0,0,0,2012
0,1,0,107,0,102,1,14,2012
0,1,0,192,0,9126,1,2,2011
0,0,0,316344,0,24,6,340,2012
1,1,0,28454,0,0,1,68,2012
0,1,0,296,0,978,1,195,2012
0,1,0,12928,0,0,1,13,2012
1,2,0,139,0,26344,1,7,2009
3,2,3,785,1,71,1,71,2012
0,1,0,6937,0,0,1,15,2011
0,0,0,2708,0,208,2,33,2012
0,1,35,672,1,1597,2,195,2012
1,0,0,144,0,0,2,4,2012
0,0,0,40420,0,59,1,27,2012
0,1,0,7452,0,490,0,0,2010
4,5,0,170,0,1550,1,14,2012
0,0,0,3696,0,386,1,13,2012
0,1,0,484,0,9126,1,1,2012
0,0,0,5428,0,0,1,2,2012
2,0,0,39863,0,84,2,73,2012
0,1,0,224,0,565,1,5,2012
0,0,0,264256,0,72,1,3,2012
0,1,0,176,0,9126,1,2,2011
0,0,0,680,0,28,1,26,2012
0,1,0,168,0,136,1,2,2012
0,1,0,10688,0,0,2,55,2012
0,1,0,300,0,9126,1,14,2011
0,1,0,596,0,10011,1,1,2011
0,1,0,736,0,9126,1,104,2011
0,1,0,1204,0,0,1,1,2012
0,1,0,112,0,0,1,7,2011
8,5,8,42634,1,1811,4,276,2012
9,10,1,98,0,0,1,1,2012
1,4,0,2588,0,0,1,50,2012
0,2,0,19056,0,0,1,11,2012
0,2,0,9592,0,590,1,4,2011
0,0,0,112,0,1272,1,5,2012
1,2,0,169,0,0,1,1,2011
0,1,0,92,0,0,1,1,2012
0,0,0,5103,0,392,1,91,2012
0,1,0,2640,0,114,1,25,2012
1,0,0,168,0,112,1,7,2012
0,0,0,894,0,1364,5,10,2012
0,0,0,1952,0,327,1,9,2012
0,0,0,2648,0,0,1,6,2011
0,1,0,19276,0,1812,21,95,2012
0,1,0,268,0,78,1,24,2012
1,0,0,895,0,1364,4,10,2012
0,1,0,11076,0,4448,10,175,2009
0,1,0,108,0,0,0,0,2011
0,1,0,449,0,0,0,0,2011
1,1,0,157,0,398,0,0,2012
0,0,0,108,0,78,1,2,2012
0,1,0,504,0,495,0,0,2010
0,0,0,883,0,1364,6,12,2012
0,0,0,6980,0,35,2,33,2012
0,1,0,3456,0,191,2,8,2012
0,1,0,1404,0,491,1,15,2010
0,0,0,863,0,1364,4,9,2012
0,1,0,124,0,197,1,11,2011
0,1,0,595,0,9126,1,7,2011
0,1,0,913,0,1364,2,7,2012
1,0,0,21069,0,0,1,4,2012
0,1,0,8544,0,6,1,10,2011
1,1,0,105,0,236,1,1,2011
0,1,0,3489,0,0,2,241,2012
0,2,0,528,0,862,1,23,2011
1,1,1,3537,1,47,4,147,2012
0,2,0,280,0,348,1,16,2008
0,2,0,10984,0,7,1,8,2012
1,2,0,12667,0,1647,1,212,2011
0,0,0,1232,0,51,2,33,2012
0,1,0,140,0,87,1,19,2011
0,1,0,156,0,9208,1,5,2012
1,0,0,104,0,894,1,2,2012
0,1,0,304,0,0,1,1,2012
0,0,0,148776,0,0,1,2,2012
1,1,0,351,0,0,1,1,2012
0,0,0,48877,0,520,2,53,2012
0,0,0,1088,0,170,1,1,2012
0,0,0,79,0,41,1,8,2012
2,3,0,2132,0,140,1,118,2011
0,0,0,136,0,0,1,1,2012
0,1,0,14336,0,0,1,2,2011
0,1,0,526,0,1370,2,7,2012
0,4,0,320,0,0,1,1,2012
3,0,0,23072,0,910,1,16,2012
0,1,0,5684,0,0,1,3,2011
1,0,0,2708,0,177,2,24,2012
0,1,0,916,0,2763,1,60,2011
0,0,0,590,0,1370,3,8,2012
0,0,0,3592,0,63,1,17,2012
0,0,0,136,0,32,1,5,2011
1,1,0,584,0,1370,3,14,2012
0,3,0,5789,1,5501,1,2,2011
0,1,0,1604,0,50,0,0,2012
0,1,0,740,0,0,0,0,2010
0,0,0,10468,0,0,1,4,2012
0,0,0,11532,0,35,1,4,2012
0,0,0,312,0,61,2,4,2012
0,1,0,34672,0,122,2,74,2012
0,0,0,526,0,1370,3,8,2012
0,1,0,176,0,0,1,1,2012
0,2,0,496,0,1405,1,1,2011
0,2,0,1168,0,0,1,6,2012
1,2,0,132,1,531,2,6,2012
0,0,0,9720,0,0,1,3,2012
1,3,0,715,0,4543,5,364,2011
1,2,0,192,0,0,1,48,2012
1,0,0,12687,0,173,2,473,2012
0,0,0,7572,0,49,1,9,2012
0,2,0,120,0,0,1,1,2009
0,2,0,672,0,0,1,1,2011
0,0,0,124,0,0,1,4,2012
0,1,0,1296,0,41,1,2,2012
0,0,0,1588,0,64,1,2,2012
1,1,0,114,1,206,1,8,2012
0,1,0,2828,0,716,1,116,2009
1,3,0,2428,0,4328,1,56,2010
0,0,0,212,0,69,1,5,2011
0,0,0,17773,0,73,1,1,2012
1,3,1,2086,0,267,4,223,2012
0,0,0,144,0,1552,1,7,2012
0,1,0,616,0,1341,1,88,2011
0,0,0,1128,1,0,1,3,2012
0,0,0,3512,0,1182,1,30,2012
0,1,0,2088,1,0,1,1,2012
0,0,0,3588,0,0,2,239,2012
0,1,0,236,0,0,1,10,2011
0,1,0,232,0,61,1,7,2012
0,1,0,212,0,0,2,8,2011
0,0,0,1712,0,460,1,61,2012
0,1,0,160,0,818,1,8,2011
0,1,0,160,0,935,1,10,2011
0,1,0,1388,0,0,1,10,2012
